Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,14765,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0003,0,0,2015-04-03 11:04:34+04,2015-04-03 11:04:53.114+04,,,1,0,0,1,0,0,344.899993896
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 11:16:31.586464+04,2015-04-03 11:16:31.587825+04,2015-04-03 11:35:06.57+04,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,14766,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0001,0,0,2015-04-03 11:18:36+04,2015-04-03 11:18:39.171+04,,,1,0,0,1,0,0,885.0
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 11:18:36.648+04,2015-04-03 11:18:39.178801+04,2015-04-03 11:33:24.073+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,14767,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0004,0,0,2015-04-03 11:32:51+04,2015-04-03 11:33:24.136+04,,,1,0,0,1,0,0,190.600006104
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 11:48:43.040454+04,2015-04-03 11:48:43.050191+04,2015-04-03 11:49:54.784+04,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,14768,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0001,0,0,2015-04-03 11:34:40+04,2015-04-03 11:35:06.57+04,,,1,0,0,1,0,0,888.0
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 11:34:40.377+04,2015-04-03 11:35:06.572227+04,2015-04-03 11:49:54.526+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,14769,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0004,0,0,2015-04-03 11:50:11+04,2015-04-03 11:50:24.848+04,2015-04-03 12:09:04.77+04,,1,0,0,1,0,0,199.699996948
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 12:06:04.706399+04,2015-04-03 12:06:04.707494+04,2015-04-03 12:09:04.765+04,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,14770,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim,0,0,2015-04-03 11:51:10+04,2015-04-03 11:51:17.641+04,,,1,0,0,1,0,0,15.1000003815
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 11:51:32.747475+04,2015-04-03 11:51:32.764211+04,2015-04-03 12:09:23.481+04,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,14771,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sim.0004,0,0,2015-04-03 12:10:29+04,2015-04-03 12:11:27.055+04,,,1,0,0,1,0,0,204.199996948
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 12:14:51.307353+04,2015-04-03 12:14:51.308565+04,2015-04-03 12:16:49.149+04,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,14772,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim,0,0,2015-04-03 12:30:54+04,2015-04-03 12:31:09.018+04,,,1,0,0,1,0,0,6237.29980469
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 12:30:54.059+04,2015-04-03 12:31:09.0186+04,2015-04-03 14:15:06.354+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14773,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim,0,0,2015-04-03 14:18:52+04,2015-04-03 14:19:06.528+04,,,1,0,0,1,0,0,2684.0
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 14:18:52.208+04,2015-04-03 14:19:06.52788+04,2015-04-03 15:03:50.537+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,14774,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim.0001,0,0,2015-04-03 15:11:52+04,2015-04-03 15:11:54.682+04,,,1,0,0,1,0,0,4873.70019531
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 15:11:52.722+04,2015-04-03 15:11:54.707583+04,2015-04-03 16:33:08.329+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,14775,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim_motC,0,0,2015-04-03 15:29:50+04,2015-04-03 15:30:06.602+04,,,1,0,0,1,0,0,4284.70019531
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 15:29:50.762+04,2015-04-03 15:30:06.601843+04,2015-04-03 16:41:31.346+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,14776,rajeev,N/A,N/A,N/A,N/A,N/A,Sim Character - sq28_sh02_cloth_sim.0002,0,0,2015-04-03 16:39:58+04,2015-04-03 16:40:17.502+04,,,1,0,0,1,0,0,823.5
,,,,,,,,,,,,,,,,,,,,,,1,Sim Character task,error,2015-04-03 16:39:58.881+04,2015-04-03 16:40:17.502153+04,2015-04-03 16:54:00.966+04,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
