Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,1790,jijesh,seq22,scn38,sh061,lightingBGbg,v013,seq22_scn38_sh061_lig_lightingBGbg_v013,1001,1255,2015-04-09 00:55:58+08,2015-04-09 01:44:38.572+08,2015-04-09 01:50:35.709+08,,2,2,0,0,0,0,357.100006104
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1255,done,2015-04-09 01:50:29.654+08,2015-04-09 01:50:29.654559+08,2015-04-09 01:50:35.696+08,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1039-1039,done,2015-04-09 00:55:58.181+08,2015-04-09 01:44:38.572739+08,2015-04-09 01:50:29.592+08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1791,tabrez,seq22,scn38,sh054,lightingCh,v011,seq22_scn38_sh054_lig_lightingCh_v011,1001,1092,2015-04-09 01:25:56+08,2015-04-18 21:03:33.373+08,2015-04-19 02:15:23.161+08,,93,93,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1092,done,2015-04-19 02:15:17.987+08,2015-04-19 02:15:17.988918+08,2015-04-19 02:15:23.148+08,3
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-04-10 02:15:59.42+08,2015-04-10 04:27:19.466008+08,2015-04-10 07:45:24.561+08,2
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-04-09 05:31:40.697+08,2015-04-09 23:12:36.755871+08,2015-04-10 02:18:08.622+08,1
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-04-09 01:25:56.648+08,2015-04-09 01:44:51.182827+08,2015-04-09 04:45:49.907+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-04-09 05:31:40.697+08,2015-04-09 23:12:41.498651+08,2015-04-10 02:23:46.307+08,1
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-04-10 04:29:21.746486+08,2015-04-10 04:29:21.748269+08,2015-04-10 07:25:01.2+08,3
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-04-10 04:29:21.744+08,2015-04-10 04:37:32.812552+08,2015-04-10 07:33:37.319+08,2
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-04-09 01:25:56.648+08,2015-04-09 01:45:18.666078+08,2015-04-09 04:37:54.688+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-04-10 04:29:21.744+08,2015-04-10 04:40:21.43352+08,2015-04-10 07:32:10.219+08,3
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-04-09 01:25:56.648+08,2015-04-09 01:45:26.368738+08,2015-04-09 04:38:54.906+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-04-09 01:25:56.648+08,2015-04-09 01:45:30.998545+08,2015-04-09 04:36:14.71+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-04-09 01:25:56.648+08,2015-04-09 01:45:36.661307+08,2015-04-09 04:35:56.932+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-04-09 01:47:26.753693+08,2015-04-09 01:47:26.754718+08,2015-04-09 04:39:27.926+08,1
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-04-09 01:25:56.648+08,2015-04-09 01:45:53.213202+08,2015-04-09 04:37:08.568+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-04-09 01:25:56.648+08,2015-04-09 01:46:02.788663+08,2015-04-09 04:37:24.422+08,0
