Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,3322,yugandhar,seq31,scn57,sh017,lightingSoldiers,v002,seq31_scn57_sh017_lig_lightingSoldiers_v002,1001,1074,2015-08-20 03:32:41+08,,,2015-08-21 04:46:15.038892+08,75,0,74,0,0,1,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1074,blocked,,,2015-08-20 03:32:41+08,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,17,Processing 1016-1016,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,18,Processing 1017-1017,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,19,Processing 1018-1018,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,20,Processing 1019-1019,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,21,Processing 1020-1020,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,22,Processing 1021-1021,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,23,Processing 1022-1022,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,24,Processing 1023-1023,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,25,Processing 1024-1024,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,26,Processing 1025-1025,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,27,Processing 1026-1026,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,28,Processing 1027-1027,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,29,Processing 1028-1028,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,30,Processing 1029-1029,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,31,Processing 1030-1030,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,32,Processing 1031-1031,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,33,Processing 1032-1032,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,34,Processing 1033-1033,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,35,Processing 1034-1034,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,36,Processing 1035-1035,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,37,Processing 1036-1036,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,38,Processing 1037-1037,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,39,Processing 1038-1038,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,40,Processing 1039-1039,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,41,Processing 1040-1040,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,42,Processing 1041-1041,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,43,Processing 1042-1042,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,44,Processing 1043-1043,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,45,Processing 1044-1044,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,46,Processing 1045-1045,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,47,Processing 1046-1046,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,48,Processing 1047-1047,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,49,Processing 1048-1048,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,50,Processing 1049-1049,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,51,Processing 1050-1050,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,52,Processing 1051-1051,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,53,Processing 1052-1052,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,54,Processing 1053-1053,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,55,Processing 1054-1054,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,56,Processing 1055-1055,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,57,Processing 1056-1056,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,58,Processing 1057-1057,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,59,Processing 1058-1058,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,60,Processing 1059-1059,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,61,Processing 1060-1060,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,62,Processing 1061-1061,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,63,Processing 1062-1062,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,64,Processing 1063-1063,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,65,Processing 1064-1064,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,66,Processing 1065-1065,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,67,Processing 1066-1066,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,68,Processing 1067-1067,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,69,Processing 1068-1068,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,70,Processing 1069-1069,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,71,Processing 1070-1070,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,72,Processing 1071-1071,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,73,Processing 1072-1072,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,74,Processing 1073-1073,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,75,Processing 1074-1074,ready,2015-08-25 19:10:25.324+08,,2015-08-25 19:10:25.324+08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,3323,ashwin,seq31,scn57,sh016,lightingHamza,v001,seq31_scn57_sh016_lig_lightingHamza_v001,1001,1081,2015-08-20 03:55:55+08,2015-08-25 17:56:50.415+08,2015-08-25 17:57:15.767+08,,82,82,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1081,done,2015-08-25 17:54:59.104948+08,2015-08-25 17:56:50.415602+08,2015-08-25 17:57:15.754+08,2
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:25.267754+08,2015-08-22 03:27:46.216+08,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-08-23 00:21:17.769+08,2015-08-23 00:29:45.875375+08,2015-08-23 00:41:47.788+08,1
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:32.994539+08,2015-08-22 03:27:55.691+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:33.030869+08,2015-08-22 03:27:57.107+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:33.760069+08,2015-08-22 03:28:03.516+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:35.466752+08,2015-08-22 03:28:12.193+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:37.748473+08,2015-08-22 03:28:19.752+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:41.066053+08,2015-08-22 03:28:24.688+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:41.075505+08,2015-08-22 03:28:25.871+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:41.805148+08,2015-08-22 03:28:40.556+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-08-20 03:55:55.893+08,2015-08-22 03:15:45.116013+08,2015-08-22 03:28:43.641+08,0
