Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,2916,pranav,seq37,scn67,sh181,lightingCHARS,v001,seq37_scn67_sh181_lig_lightingCHARS_v001,1001,1075,2015-07-15 02:51:05+08,2015-07-18 08:12:54.03+08,2015-07-18 09:49:05.7+08,,76,76,0,0,0,0,36.0999984741
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1075,done,2015-07-18 09:48:26.404+08,2015-07-18 09:48:29.635993+08,2015-07-18 09:49:05.68+08,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-07-15 02:51:05.211+08,2015-07-17 03:48:49.762124+08,2015-07-17 06:13:48.22+08,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-07-15 02:51:05.211+08,2015-07-17 03:48:52.514601+08,2015-07-17 05:58:40.096+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-07-15 02:51:05.211+08,2015-07-17 03:48:58.373883+08,2015-07-17 05:58:07.79+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-07-15 02:51:05.211+08,2015-07-17 03:49:20.185402+08,2015-07-17 06:06:32.44+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-07-15 02:51:05.211+08,2015-07-17 03:49:36.533952+08,2015-07-17 06:02:10.602+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-07-15 02:51:05.211+08,2015-07-17 03:49:50.715588+08,2015-07-17 06:03:01.295+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-07-15 02:51:05.211+08,2015-07-17 03:49:51.46698+08,2015-07-17 05:58:38.632+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-07-15 02:51:05.211+08,2015-07-17 03:49:52.171083+08,2015-07-17 05:43:20.452+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-07-15 02:51:05.211+08,2015-07-17 03:50:42.94818+08,2015-07-17 05:31:23.607+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-07-15 02:51:05.211+08,2015-07-17 03:50:59.016786+08,2015-07-17 05:24:58.579+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:02.24727+08,2015-07-17 05:17:37.655+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:14.474011+08,2015-07-17 05:13:33.244+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:18.73535+08,2015-07-17 05:12:29.153+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:24.030098+08,2015-07-17 05:10:21.603+08,0
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:24.837724+08,2015-07-17 05:15:58.159+08,0
,,,,,,,,,,,,,,,,,,,,,,17,Processing 1016-1016,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:39.842323+08,2015-07-17 05:09:46.178+08,0
,,,,,,,,,,,,,,,,,,,,,,18,Processing 1017-1017,done,2015-07-17 04:12:25.361378+08,2015-07-17 04:12:55.37401+08,2015-07-17 05:41:27.339+08,1
,,,,,,,,,,,,,,,,,,,,,,19,Processing 1018-1018,done,2015-07-15 02:51:05.211+08,2015-07-17 03:51:58.495593+08,2015-07-17 05:25:50.798+08,0
,,,,,,,,,,,,,,,,,,,,,,20,Processing 1019-1019,done,2015-07-15 02:51:05.211+08,2015-07-17 03:52:54.298815+08,2015-07-17 05:31:41.847+08,0
,,,,,,,,,,,,,,,,,,,,,,21,Processing 1020-1020,done,2015-07-15 02:51:05.211+08,2015-07-17 03:54:04.089253+08,2015-07-17 05:40:32.341+08,0
,,,,,,,,,,,,,,,,,,,,,,22,Processing 1021-1021,done,2015-07-15 02:51:05.211+08,2015-07-17 03:56:30.582384+08,2015-07-17 05:36:46.169+08,0
,,,,,,,,,,,,,,,,,,,,,,23,Processing 1022-1022,done,2015-07-15 02:51:05.211+08,2015-07-17 03:57:04.170676+08,2015-07-17 05:37:30.641+08,0
,,,,,,,,,,,,,,,,,,,,,,24,Processing 1023-1023,done,2015-07-15 02:51:05.211+08,2015-07-17 03:57:36.31064+08,2015-07-17 05:30:46.817+08,0
,,,,,,,,,,,,,,,,,,,,,,25,Processing 1024-1024,done,2015-07-15 02:51:05.211+08,2015-07-17 03:57:38.15552+08,2015-07-17 05:36:02.191+08,0
,,,,,,,,,,,,,,,,,,,,,,26,Processing 1025-1025,done,2015-07-15 02:51:05.211+08,2015-07-17 03:58:55.403855+08,2015-07-17 05:33:06.365+08,0
,,,,,,,,,,,,,,,,,,,,,,27,Processing 1026-1026,done,2015-07-15 02:51:05.211+08,2015-07-17 04:01:21.66962+08,2015-07-17 05:36:20.047+08,0
,,,,,,,,,,,,,,,,,,,,,,28,Processing 1027-1027,done,2015-07-15 02:51:05.211+08,2015-07-17 04:02:31.974222+08,2015-07-17 05:36:54.103+08,0
,,,,,,,,,,,,,,,,,,,,,,29,Processing 1028-1028,done,2015-07-15 02:51:05.211+08,2015-07-17 04:02:55.487085+08,2015-07-17 05:35:01.408+08,0
,,,,,,,,,,,,,,,,,,,,,,30,Processing 1029-1029,done,2015-07-15 02:51:05.211+08,2015-07-17 04:06:02.814754+08,2015-07-17 05:42:13.108+08,0
,,,,,,,,,,,,,,,,,,,,,,31,Processing 1030-1030,done,2015-07-17 04:12:25.359+08,2015-07-17 04:21:54.116002+08,2015-07-17 05:46:32.156+08,0
,,,,,,,,,,,,,,,,,,,,,,32,Processing 1031-1031,done,2015-07-17 04:22:13.133383+08,2015-07-17 04:22:13.134274+08,2015-07-17 05:43:45.578+08,1
,,,,,,,,,,,,,,,,,,,,,,33,Processing 1032-1032,done,2015-07-17 04:25:59.294361+08,2015-07-17 04:25:59.295273+08,2015-07-17 05:45:06.948+08,1
,,,,,,,,,,,,,,,,,,,,,,34,Processing 1033-1033,done,2015-07-17 04:22:13.131+08,2015-07-17 04:24:37.106363+08,2015-07-17 05:43:41.422+08,0
,,,,,,,,,,,,,,,,,,,,,,35,Processing 1034-1034,done,2015-07-17 04:22:13.131+08,2015-07-17 04:24:55.701284+08,2015-07-17 05:40:53.604+08,0
,,,,,,,,,,,,,,,,,,,,,,36,Processing 1035-1035,done,2015-07-17 04:22:13.131+08,2015-07-17 04:25:05.462363+08,2015-07-17 05:38:31.767+08,0
,,,,,,,,,,,,,,,,,,,,,,37,Processing 1036-1036,done,2015-07-17 04:22:13.131+08,2015-07-17 04:25:35.632543+08,2015-07-17 05:39:36.804+08,0
,,,,,,,,,,,,,,,,,,,,,,38,Processing 1037-1037,done,2015-07-17 04:22:13.131+08,2015-07-17 04:25:42.449381+08,2015-07-17 05:40:54.304+08,0
,,,,,,,,,,,,,,,,,,,,,,39,Processing 1038-1038,done,2015-07-17 04:22:13.131+08,2015-07-17 04:25:47.244178+08,2015-07-17 05:41:45.744+08,0
,,,,,,,,,,,,,,,,,,,,,,40,Processing 1039-1039,done,2015-07-17 04:22:13.131+08,2015-07-17 04:25:51.225875+08,2015-07-17 05:43:11.101+08,0
,,,,,,,,,,,,,,,,,,,,,,41,Processing 1040-1040,done,2015-07-17 04:25:59.292+08,2015-07-17 04:26:26.803745+08,2015-07-17 05:43:43.425+08,0
,,,,,,,,,,,,,,,,,,,,,,42,Processing 1041-1041,done,2015-07-17 04:25:59.292+08,2015-07-17 04:26:28.345821+08,2015-07-17 05:44:33.415+08,0
,,,,,,,,,,,,,,,,,,,,,,43,Processing 1042-1042,done,2015-07-17 04:25:59.292+08,2015-07-17 04:26:43.213105+08,2015-07-17 05:45:25.699+08,0
,,,,,,,,,,,,,,,,,,,,,,44,Processing 1043-1043,done,2015-07-17 04:25:59.292+08,2015-07-17 04:26:58.177802+08,2015-07-17 05:49:40.159+08,0
,,,,,,,,,,,,,,,,,,,,,,45,Processing 1044-1044,done,2015-07-17 04:25:59.292+08,2015-07-17 04:27:07.902876+08,2015-07-17 05:52:36.99+08,0
,,,,,,,,,,,,,,,,,,,,,,46,Processing 1045-1045,done,2015-07-17 04:25:59.292+08,2015-07-17 04:27:15.714907+08,2015-07-17 05:58:11.783+08,0
,,,,,,,,,,,,,,,,,,,,,,47,Processing 1046-1046,done,2015-07-17 04:25:59.292+08,2015-07-17 04:27:18.248321+08,2015-07-17 05:59:45.51+08,0
,,,,,,,,,,,,,,,,,,,,,,48,Processing 1047-1047,done,2015-07-17 04:25:59.292+08,2015-07-17 05:10:27.593926+08,2015-07-17 06:39:33.614+08,0
,,,,,,,,,,,,,,,,,,,,,,49,Processing 1048-1048,done,2015-07-17 04:25:59.292+08,2015-07-17 05:25:04.641997+08,2015-07-17 06:54:55.862+08,0
,,,,,,,,,,,,,,,,,,,,,,50,Processing 1049-1049,done,2015-07-17 04:25:59.292+08,2015-07-17 05:25:50.843575+08,2015-07-17 06:57:52.802+08,0
,,,,,,,,,,,,,,,,,,,,,,51,Processing 1050-1050,done,2015-07-17 04:25:59.292+08,2015-07-17 05:31:00.855947+08,2015-07-17 07:00:53.864+08,0
,,,,,,,,,,,,,,,,,,,,,,52,Processing 1051-1051,done,2015-07-17 04:25:59.292+08,2015-07-17 05:31:37.645795+08,2015-07-17 07:03:27.914+08,0
,,,,,,,,,,,,,,,,,,,,,,53,Processing 1052-1052,done,2015-07-17 04:25:59.292+08,2015-07-17 05:31:43.870846+08,2015-07-17 07:03:42.298+08,0
,,,,,,,,,,,,,,,,,,,,,,54,Processing 1053-1053,done,2015-07-17 04:25:59.292+08,2015-07-17 05:33:20.430626+08,2015-07-17 07:03:46.555+08,0
,,,,,,,,,,,,,,,,,,,,,,55,Processing 1054-1054,done,2015-07-17 04:25:59.292+08,2015-07-17 05:36:23.908376+08,2015-07-17 07:09:19.28+08,0
,,,,,,,,,,,,,,,,,,,,,,56,Processing 1055-1055,done,2015-07-17 04:25:59.292+08,2015-07-17 05:36:52.207452+08,2015-07-17 07:10:06.822+08,0
,,,,,,,,,,,,,,,,,,,,,,57,Processing 1056-1056,done,2015-07-17 04:25:59.292+08,2015-07-17 05:37:08.142396+08,2015-07-17 07:10:06.037+08,0
,,,,,,,,,,,,,,,,,,,,,,58,Processing 1057-1057,done,2015-07-17 04:25:59.292+08,2015-07-17 05:39:38.842337+08,2015-07-17 07:11:33.851+08,0
,,,,,,,,,,,,,,,,,,,,,,59,Processing 1058-1058,done,2015-07-17 04:25:59.292+08,2015-07-17 05:41:29.438439+08,2015-07-17 07:12:37.437+08,0
,,,,,,,,,,,,,,,,,,,,,,60,Processing 1059-1059,done,2015-07-17 04:25:59.292+08,2015-07-17 05:42:27.163964+08,2015-07-17 07:22:30.569+08,0
,,,,,,,,,,,,,,,,,,,,,,61,Processing 1060-1060,done,2015-07-17 04:25:59.292+08,2015-07-17 05:43:34.488885+08,2015-07-17 07:15:36.561+08,0
,,,,,,,,,,,,,,,,,,,,,,62,Processing 1061-1061,done,2015-07-17 04:25:59.292+08,2015-07-17 05:43:41.441403+08,2015-07-17 07:13:51.612+08,0
,,,,,,,,,,,,,,,,,,,,,,63,Processing 1062-1062,done,2015-07-17 04:25:59.292+08,2015-07-17 05:43:47.706037+08,2015-07-17 07:17:05.681+08,0
,,,,,,,,,,,,,,,,,,,,,,64,Processing 1063-1063,done,2015-07-17 04:25:59.292+08,2015-07-17 05:44:33.425642+08,2015-07-17 07:18:09.615+08,0
,,,,,,,,,,,,,,,,,,,,,,65,Processing 1064-1064,done,2015-07-17 04:25:59.292+08,2015-07-17 05:45:40.468131+08,2015-07-17 07:18:17.642+08,0
,,,,,,,,,,,,,,,,,,,,,,66,Processing 1065-1065,done,2015-07-17 04:25:59.292+08,2015-07-17 05:46:32.157964+08,2015-07-17 07:18:42.621+08,0
,,,,,,,,,,,,,,,,,,,,,,67,Processing 1066-1066,done,2015-07-17 04:25:59.292+08,2015-07-17 05:49:54.179121+08,2015-07-17 07:20:30.344+08,0
,,,,,,,,,,,,,,,,,,,,,,68,Processing 1067-1067,done,2015-07-17 04:25:59.292+08,2015-07-17 05:52:42.979597+08,2015-07-17 07:24:11.575+08,0
,,,,,,,,,,,,,,,,,,,,,,69,Processing 1068-1068,done,2015-07-17 04:25:59.292+08,2015-07-17 05:58:07.819701+08,2015-07-17 07:32:10.172+08,0
,,,,,,,,,,,,,,,,,,,,,,70,Processing 1069-1069,done,2015-07-17 04:25:59.292+08,2015-07-17 06:03:15.317629+08,2015-07-17 07:36:27.386+08,0
,,,,,,,,,,,,,,,,,,,,,,71,Processing 1070-1070,done,2015-07-17 04:25:59.292+08,2015-07-17 06:06:46.417711+08,2015-07-17 07:41:22.062+08,0
,,,,,,,,,,,,,,,,,,,,,,72,Processing 1071-1071,done,2015-07-17 04:25:59.292+08,2015-07-17 06:39:33.601383+08,2015-07-17 08:12:09.817+08,0
,,,,,,,,,,,,,,,,,,,,,,73,Processing 1072-1072,done,2015-07-18 08:12:40.449189+08,2015-07-18 08:12:54.030458+08,2015-07-18 09:48:25.199+08,8
