Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,2439,midhun,seq03D,scn11,sh009,lighting,v003,seq03D_scn11_sh009_lig_lighting_v003,1001,1145,2015-05-25 01:22:11+08,2015-05-27 17:19:37.281+08,2015-05-27 17:19:44.368+08,,146,146,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1145,done,2015-05-27 17:18:19.29677+08,2015-05-27 17:19:37.281355+08,2015-05-27 17:19:44.358+08,1
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-05-26 22:49:09.753406+08,2015-05-26 22:49:09.75414+08,2015-05-27 00:39:19.294+08,1
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-05-25 01:22:11.611+08,2015-05-26 22:48:55.681026+08,2015-05-27 00:38:19.134+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-05-25 01:22:11.611+08,2015-05-26 22:49:09.115384+08,2015-05-27 00:39:06.437+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-05-26 22:49:09.749+08,2015-05-26 22:49:16.876263+08,2015-05-27 00:47:20.768+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-05-26 22:49:09.749+08,2015-05-26 22:49:23.03024+08,2015-05-27 00:38:41.055+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-05-26 22:49:09.749+08,2015-05-26 22:49:46.192412+08,2015-05-27 00:40:13.122+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-05-26 22:49:09.749+08,2015-05-26 22:50:22.481019+08,2015-05-27 00:40:56.131+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-05-26 22:49:09.749+08,2015-05-26 22:50:26.645934+08,2015-05-27 00:40:39.245+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-05-26 22:51:18.117205+08,2015-05-26 22:51:18.118041+08,2015-05-27 00:42:59.862+08,1
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-05-27 01:03:26.17+08,2015-05-27 01:03:26.170316+08,2015-05-27 02:54:01.63+08,1
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-05-26 22:49:09.749+08,2015-05-26 22:51:07.292065+08,2015-05-27 00:42:46.847+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-05-26 22:49:09.749+08,2015-05-26 22:51:17.645721+08,2015-05-27 00:42:59.984+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-05-26 22:51:18.113+08,2015-05-26 22:51:40.449603+08,2015-05-27 00:43:47.952+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-05-26 22:52:25.921464+08,2015-05-26 22:52:25.922202+08,2015-05-27 00:44:41.536+08,1
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,done,2015-05-26 22:51:18.113+08,2015-05-26 22:52:18.292374+08,2015-05-27 00:44:44.454+08,0
