Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,3817,pranav,seq37,scn66,sh027B,lightingGROUND,v001,seq37_scn66_sh027B_lig_lightingGROUND_v001,1001,1054,2015-10-10 03:25:12+08,2015-10-10 16:12:27.396+08,2015-10-10 16:52:58.005+08,,55,55,0,0,0,0,60207.8007812
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1054,done,2015-10-10 16:52:29.739+08,2015-10-10 16:52:29.74029+08,2015-10-10 16:52:57.993+08,0
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:27.396145+08,2015-10-10 16:31:24.254+08,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:28.809132+08,2015-10-10 16:31:13.794+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:31.030255+08,2015-10-10 16:31:08.88+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:34.790865+08,2015-10-10 16:31:01.735+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:35.704389+08,2015-10-10 16:31:06.625+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:36.551284+08,2015-10-10 16:32:59.294+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:48.597841+08,2015-10-10 16:32:22.297+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-10-10 03:25:12.896+08,2015-10-10 16:12:56.862201+08,2015-10-10 16:31:36.521+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-10-10 03:25:12.896+08,2015-10-10 16:13:16.400208+08,2015-10-10 16:31:50.269+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-10-10 03:25:12.896+08,2015-10-10 16:13:28.011427+08,2015-10-10 16:31:59.853+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-10-10 03:25:12.896+08,2015-10-10 16:13:29.581897+08,2015-10-10 16:32:40.438+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-10-10 03:25:12.896+08,2015-10-10 16:13:41.301054+08,2015-10-10 16:32:17.191+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-10-10 03:25:12.896+08,2015-10-10 16:13:45.820671+08,2015-10-10 16:31:52.677+08,0
