Number,jid,owner,seq,scn,shot,dept,version,title,first_task,last_task,spool_time,start_time,stop_time,pause_time,num_tasks,num_done,num_ready,num_error,num_active,num_blocked,elapsed_secs,tid,title,state,ready_time,active_time,state_time,retry_count
1,3463,midhun,seq30,scn53,sh010,lightingMatte,v006,seq30_scn53_sh010_lig_lightingMatte_v006,1001,1236,2015-09-06 01:55:23+08,2015-09-08 16:14:09.861+08,2015-09-08 16:16:34.376+08,,237,237,0,0,0,0,0.0
,,,,,,,,,,,,,,,,,,,,,,1,Renders 1001-1236,done,2015-09-08 16:14:20.981219+08,2015-09-08 16:14:20.98244+08,2015-09-08 16:16:34.365+08,9
,,,,,,,,,,,,,,,,,,,,,,2,Processing 1001-1001,done,2015-09-06 01:55:23.705+08,2015-09-07 16:02:47.01005+08,2015-09-07 16:29:31.919+08,0
,,,,,,,,,,,,,,,,,,,,,,3,Processing 1002-1002,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.059796+08,2015-09-07 16:42:16.316+08,0
,,,,,,,,,,,,,,,,,,,,,,4,Processing 1003-1003,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.104035+08,2015-09-07 16:44:22.116+08,0
,,,,,,,,,,,,,,,,,,,,,,5,Processing 1004-1004,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.111693+08,2015-09-07 16:42:07.135+08,0
,,,,,,,,,,,,,,,,,,,,,,6,Processing 1005-1005,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.16758+08,2015-09-07 16:42:12.487+08,0
,,,,,,,,,,,,,,,,,,,,,,7,Processing 1006-1006,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.176893+08,2015-09-07 16:53:36.162+08,0
,,,,,,,,,,,,,,,,,,,,,,8,Processing 1007-1007,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.2033+08,2015-09-07 16:42:06.43+08,0
,,,,,,,,,,,,,,,,,,,,,,9,Processing 1008-1008,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:19.475115+08,2015-09-07 16:46:20.343+08,0
,,,,,,,,,,,,,,,,,,,,,,10,Processing 1009-1009,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:20.052092+08,2015-09-07 16:42:01.799+08,0
,,,,,,,,,,,,,,,,,,,,,,11,Processing 1010-1010,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:20.067461+08,2015-09-07 16:42:20.297+08,0
,,,,,,,,,,,,,,,,,,,,,,12,Processing 1011-1011,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:20.344796+08,2015-09-07 16:56:29.372+08,0
,,,,,,,,,,,,,,,,,,,,,,13,Processing 1012-1012,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:20.875297+08,2015-09-07 16:47:28.265+08,0
,,,,,,,,,,,,,,,,,,,,,,14,Processing 1013-1013,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:26.135792+08,2015-09-07 16:47:25.335+08,0
,,,,,,,,,,,,,,,,,,,,,,15,Processing 1014-1014,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:26.215631+08,2015-09-07 16:44:44.604+08,0
,,,,,,,,,,,,,,,,,,,,,,16,Processing 1015-1015,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:26.234743+08,2015-09-07 16:56:45.464+08,0
,,,,,,,,,,,,,,,,,,,,,,17,Processing 1016-1016,done,2015-09-06 01:55:23.705+08,2015-09-07 16:19:26.316277+08,2015-09-07 16:48:14.209+08,0
,,,,,,,,,,,,,,,,,,,,,,18,Processing 1017-1017,done,2015-09-06 01:55:23.705+08,2015-09-07 16:42:26.533039+08,2015-09-07 17:09:49.624+08,0
,,,,,,,,,,,,,,,,,,,,,,19,Processing 1018-1018,done,2015-09-06 01:55:23.705+08,2015-09-07 16:44:22.114826+08,2015-09-07 17:00:17.829+08,0
,,,,,,,,,,,,,,,,,,,,,,20,Processing 1019-1019,done,2015-09-06 01:55:23.705+08,2015-09-07 16:44:44.629969+08,2015-09-07 16:56:22.352+08,0
,,,,,,,,,,,,,,,,,,,,,,21,Processing 1020-1020,done,2015-09-06 01:55:23.705+08,2015-09-07 16:46:20.347454+08,2015-09-07 17:02:32.933+08,0
,,,,,,,,,,,,,,,,,,,,,,22,Processing 1021-1021,done,2015-09-06 01:55:23.705+08,2015-09-07 16:47:27.339938+08,2015-09-07 16:59:58.002+08,0
,,,,,,,,,,,,,,,,,,,,,,23,Processing 1022-1022,done,2015-09-06 01:55:23.705+08,2015-09-07 16:47:28.282347+08,2015-09-07 16:59:55.926+08,0
,,,,,,,,,,,,,,,,,,,,,,24,Processing 1023-1023,done,2015-09-06 01:55:23.705+08,2015-09-07 16:48:14.228267+08,2015-09-07 16:59:33.672+08,0
,,,,,,,,,,,,,,,,,,,,,,25,Processing 1024-1024,done,2015-09-06 01:55:23.705+08,2015-09-07 16:53:36.228803+08,2015-09-07 17:22:13.173+08,0
